# airline	from	to	codeshare	stops	equipment
# Date: 2012-10-14
DL	JFK	ELM	*	0	CRJ
DL	JFK	FCO		0	333
DL	JFK	FCO	*	0	330 772
DL	JFK	FLL		0	73W 320 M88
DL	JFK	FRA		0	76W
DL	JFK	GEO		0	752
DL	JFK	GRU		0	764
DL	JFK	GSO		0	ERJ
DL	JFK	IAD		0	ERJ
DL	JFK	IAD	*	0	CRJ ERJ
DL	JFK	ICN	*	0	77W 388
DL	JFK	IND	*	0	CR9
DL	JFK	IST		0	767
DL	JFK	JAX		0	CR7
DL	JFK	JAX	*	0	CR9
DL	JFK	LAS		0	73H 738 757
DL	JFK	LAX		0	752
DL	JFK	LHR		0	764
DL	JFK	MAD		0	76W
DL	JFK	MAD	*	0	332
DL	JFK	MCI	*	0	CR7
DL	JFK	MCO		0	738 M88 73H
DL	JFK	MEM	*	0	CR9
DL	JFK	MEX		0	757 738 762 737
DL	JFK	MEX	*	0	738
DL	JFK	MIA		0	320 738 73H
DL	JFK	MKE	*	0	CR7
DL	JFK	MSP		0	319
DL	JFK	MSP	*	0	CR9
DL	JFK	MSY	*	0	CR9
DL	JFK	MXP		0	764
DL	JFK	MXP	*	0	330
DL	JFK	NCE		0	764
DL	JFK	NRT		0	744
DL	JFK	ORD	*	0	CR9
DL	JFK	ORF	*	0	ERJ CRJ
DL	JFK	PAP		0	738
DL	JFK	PDX		0	73H
DL	JFK	PHL	*	0	CRJ ERJ
DL	JFK	PHX		0	738 73H
DL	JFK	PIT		0	CR7
DL	JFK	PIT	*	0	CRJ CR9
DL	JFK	PRG		0	767
DL	JFK	PVG	*	0	346
DL	JFK	RDU	*	0	CRJ CR9 ERJ
DL	JFK	RIC	*	0	CRJ ERJ
DL	JFK	ROC	*	0	ERJ CRJ
DL	JFK	SAN		0	73H
DL	JFK	SAT		0	319
DL	JFK	SDF		0	ERJ
DL	JFK	SDQ		0	73H
DL	JFK	SEA		0	73H 752
DL	JFK	SFO		0	752
DL	JFK	SJU		0	73H
DL	JFK	SLC		0	73H 757 320
DL	JFK	STI		0	73H
DL	JFK	STL	*	0	CR7
DL	JFK	SVO		0	764
DL	JFK	SVO	*	0	333
DL	JFK	SYR	*	0	CRJ
DL	JFK	TLV		0	744
DL	JFK	TPA		0	M88
DL	JFK	VCE		0	767
DL	JFK	YUL	*	0	CRJ
DL	JFK	YYZ	*	0	CRJ
DL	JNB	ATL		0	77L
DL	JPA	GIG	*	0	738
DL	JRO	DAR	*	0	77W 777
DL	KGL	EBB	*	0	332 330
DL	KIX	GUM		0	752
DL	KIX	HNL		0	744 333
DL	KIX	SEA		0	767
DL	KOA	LAX		0	757
DL	KOA	OAK	*	0	73H
DL	KOA	SJC	*	0	73H
DL	KRT	ADD	*	0	330
DL	KRT	AMS	*	0	330
DL	KWI	AMS	*	0	332 330
DL	KWI	DMM	*	0	332 330
DL	LAN	DTW	*	0	ERJ CRJ
DL	LAN	MSP	*	0	CRJ
DL	LAS	ATL		0	753 757 763 767 738 73H
DL	LAS	CVG		0	73H 738 320
DL	LAS	DTW		0	738 757 753 320 763 73H
DL	LAS	ICN	*	0	332
DL	LAS	JFK		0	738 73H 757
DL	LAS	LAX	*	0	CR9
DL	LAS	MCO		0	738
DL	LAS	MEM		0	320 73H 738
DL	LAS	MEX		0	737 738
DL	LAS	MSP		0	757 M90 320 738 753
DL	LAS	MTY	*	0	738
DL	LAS	PDX	*	0	73G 73H
DL	LAS	SLC		0	320 738 757
DL	LAS	SLC	*	0	CR9
DL	LAS	YVR	*	0	73H 73W
DL	LAS	YYC	*	0	73H 73W
DL	LAS	YYZ	*	0	73H
DL	LAX	AMS	*	0	74M 747
DL	LAX	ATL		0	763 77L 757 753 73H
DL	LAX	BNE	*	0	77W
DL	LAX	CAN	*	0	380
DL	LAX	CDG	*	0	388 772
DL	LAX	CMH		0	73H
DL	LAX	CVG		0	320 73H
DL	LAX	DCA	*	0	73H
DL	LAX	DTW		0	738 757 763 332 73H 320
DL	LAX	FCO	*	0	772
DL	LAX	GDL		0	737 738
DL	LAX	GUA		0	757
DL	LAX	HMO		0	ERJ
DL	LAX	HND		0	332
DL	LAX	HNL		0	763 753
DL	LAX	ICN	*	0	388 744 772
DL	LAX	IND		0	320
DL	LAX	JFK		0	752
DL	LAX	KOA		0	757
DL	LAX	LAS	*	0	CR9
DL	LAX	LIH		0	757
DL	LAX	MCI		0	319
DL	LAX	MCO		0	738 757
DL	LAX	MEL	*	0	77W
DL	LAX	MEM		0	73H 738 320
DL	LAX	MEX		0	737 738
DL	LAX	MEX	*	0	737 738 73H
DL	LAX	MIA		0	738
DL	LAX	MMH	*	0	DH4
DL	LAX	MSP		0	738 757 753 73H 763 320
DL	LAX	MSY		0	319 320
DL	LAX	NRT		0	77L
DL	LAX	OAK	*	0	CR9
DL	LAX	OGG		0	757
DL	LAX	PDX	*	0	73G 73H 734
DL	LAX	PHX	*	0	CR7 CR9
DL	LAX	PPT	*	0	772
DL	LAX	PVG	*	0	346
DL	LAX	RDU		0	73H 738
DL	LAX	SAN	*	0	CR7 CR9
DL	LAX	SEA	*	0	734 73H 73G 739
DL	LAX	SFO		0	73H 320
DL	LAX	SFO	*	0	CR7 CR9
DL	LAX	SJC	*	0	DH4
DL	LAX	SLC		0	757 738 320
DL	LAX	SLC	*	0	CR9 CR7
DL	LAX	SMF	*	0	CR7
DL	LAX	SVO	*	0	332
DL	LAX	SYD		0	77L
DL	LAX	SYD	*	0	77W
DL	LAX	TPA		0	320
DL	LAX	TPE	*	0	744
DL	LAX	YEG	*	0	73W
DL	LAX	YVR	*	0	73G 734 739 73H
DL	LAX	YYC	*	0	73W
DL	LEX	ATL		0	M88
DL	LEX	ATL	*	0	CR9 CRJ CR7
DL	LEX	DCA	*	0	CRJ
DL	LEX	DTW	*	0	CRJ ERJ CR7
DL	LEX	LGA		0	ERJ
DL	LEX	MSP	*	0	CRJ
DL	LFT	ATL	*	0	CRJ
DL	LGA	ATL		0	M88 757 752 320
DL	LGA	BGR		0	CR7
DL	LGA	BGR	*	0	ERJ CR7
DL	LGA	BHM	*	0	CR7
DL	LGA	BNA		0	CR7
DL	LGA	BNA	*	0	CR7 E70 E75
DL	LGA	BOS	*	0	E75
DL	LGA	BTV		0	CR7
DL	LGA	BTV	*	0	CR7 E75
DL	LGA	BUF		0	CR7 E70 M88
DL	LGA	BUF	*	0	E75
DL	LGA	CAE	*	0	CRJ ERJ
DL	LGA	CHO		0	ERJ
DL	LGA	CHS		0	ERJ CR7
DL	LGA	CHS	*	0	E70 CR7 E75
DL	LGA	CLE		0	ERJ
DL	LGA	CLE	*	0	ERJ CRJ
DL	LGA	CLT		0	CR7
DL	LGA	CLT	*	0	E70 CR7 E75
DL	LGA	CMH	*	0	E70 E75
DL	LGA	CVG		0	319 CR7 M88
DL	LGA	CVG	*	0	CR7 E75
DL	LGA	DCA	*	0	E70
DL	LGA	DEN		0	320
DL	LGA	DFW		0	E70 319
DL	LGA	DFW	*	0	E75 CR7
DL	LGA	DTW		0	320 M88 319
DL	LGA	FLL		0	320 319 M88
DL	LGA	GRR	*	0	ERJ
DL	LGA	GSO		0	CR7
DL	LGA	GSO	*	0	ERJ CR7
DL	LGA	GSP	*	0	ERJ
DL	LGA	IAD	*	0	ERJ CR7 CRJ
DL	LGA	IAH	*	0	E75 E70 CR7
DL	LGA	ILM		0	ERJ
DL	LGA	ILM	*	0	ERJ
DL	LGA	IND		0	E70
DL	LGA	IND	*	0	E70 E75
DL	LGA	JAX		0	319 E70
DL	LGA	JAX	*	0	E75 E70
DL	LGA	LEX	*	0	ERJ
DL	LGA	MCI		0	CR7 319
DL	LGA	MCI	*	0	E75 CR7
DL	LGA	MCO		0	320 M88 319
DL	LGA	MEM		0	320 319
DL	LGA	MHT		0	CR7
DL	LGA	MHT	*	0	CRJ CR7 ERJ
DL	LGA	MIA		0	320 319
DL	LGA	MKE		0	CR7 E75
DL	LGA	MKE	*	0	CR7 E70
DL	LGA	MSN	*	0	E75
DL	LGA	MSP		0	320 M88 738 319
DL	LGA	MSY		0	319
DL	LGA	NAS		0	319
DL	LGA	ORD	*	0	E75
DL	LGA	ORF	*	0	ERJ
DL	LGA	PBI		0	320 319
DL	LGA	PHL	*	0	ERJ CRJ
DL	LGA	PIT		0	CR7
DL	LGA	PIT	*	0	E75 CR7
DL	LGA	PWM		0	CR7 319
DL	LGA	PWM	*	0	E75 E70 CR7
DL	LGA	RDU		0	CR7 320
DL	LGA	RDU	*	0	E75 CR7
DL	LGA	RIC	*	0	CRJ ERJ CR7 E75
DL	LGA	ROA		0	ERJ
DL	LGA	ROC		0	E70
DL	LGA	ROC	*	0	CR7 E75 E70
DL	LGA	RSW		0	319
DL	LGA	SAV		0	CR7
DL	LGA	SAV	*	0	CR7 E75
DL	LGA	SDF		0	ERJ
DL	LGA	SDF	*	0	ERJ
DL	LGA	STL		0	CR7
DL	LGA	STL	*	0	CR7
DL	LGA	SYR		0	CR7
DL	LGA	SYR	*	0	CR7 ERJ CRJ
DL	LGA	TPA		0	M88 320 319
DL	LGA	TYS	*	0	CRJ
DL	LGA	YHZ		0	ERJ
DL	LGA	YOW		0	ERJ
DL	LGA	YOW	*	0	CRJ
DL	LGA	YUL		0	ERJ
DL	LGA	YUL	*	0	ERJ CRJ
DL	LGA	YYZ	*	0	736 73W
DL	LGB	PDX	*	0	CR7
DL	LGB	SLC		0	320
DL	LGB	SLC	*	0	CR7 CR9
DL	LHR	ATL		0	764
DL	LHR	BOS		0	764
DL	LHR	DTW		0	764
DL	LHR	JFK		0	764
DL	LHR	MSP		0	764
DL	LIH	LAX		0	757
DL	LIM	ATL		0	767
DL	LIR	ATL		0	73H 738 757
DL	LIT	ATL		0	M88 D95
DL	LIT	ATL	*	0	CR9 CR7
DL	LIT	DTW	*	0	CR7
DL	LIT	MEM	*	0	CRJ
DL	LNK	MSP	*	0	CRJ
DL	LOS	ATL		0	76W
DL	LSE	DTW	*	0	CRJ
DL	LSE	MSP	*	0	CRJ
DL	LWS	SLC	*	0	CRJ
DL	MAD	ATL		0	76W
DL	MAD	JFK		0	76W
DL	MAD	JFK	*	0	332
DL	MAN	ATL		0	767
DL	MBJ	ATL		0	757 M88
DL	MBS	DTW	*	0	CR7 CRJ
DL	MBS	MSP	*	0	CRJ
DL	MCI	ATL		0	757 M90 M88
DL	MCI	BOS	*	0	E75
DL	MCI	CVG	*	0	CRJ
DL	MCI	DTW		0	M88 319 M90 738
DL	MCI	DTW	*	0	CR9 CR7
DL	MCI	JFK		0	CR7
DL	MCI	LAX		0	319
DL	MCI	LGA		0	CR7 319
DL	MCI	LGA	*	0	E75 CR7
DL	MCI	MEM	*	0	CR9 CRJ
DL	MCI	MSP		0	M90 738 M88 319
DL	MCI	MSP	*	0	E75 CR9
DL	MCI	SEA	*	0	73H 739
DL	MCI	SLC	*	0	CR7 CR9
DL	MCO	ATL		0	757 753 763 M88
DL	MCO	BOS		0	320
DL	MCO	CVG		0	M88 738
DL	MCO	DTW		0	757 753 320
DL	MCO	JFK		0	73H M88 320 738
DL	MCO	LAS		0	738
DL	MCO	LAX		0	757 738
DL	MCO	LGA		0	319 738 320 M88
DL	MCO	MEM		0	M88 738 320
DL	MCO	MEX		0	738 737
DL	MCO	MSP		0	757 753
DL	MCO	RDU	*	0	CR9
DL	MCO	SAN	*	0	73H
DL	MCO	SLC		0	757 738
DL	MCO	YYZ	*	0	73H
DL	MCT	DOH	*	0	332
DL	MDT	ATL	*	0	CRJ CR7 CR9
DL	MDT	CVG	*	0	CRJ
DL	MDT	DTW	*	0	CRJ
DL	MDW	ATL		0	320 M90 319
DL	MDW	DTW	*	0	CRJ
DL	MDW	MSP	*	0	E70 CR9 E75
DL	MEL	LAX	*	0	77W
DL	MEM	ATL		0	M88 320 738 M90
DL	MEM	ATL	*	0	CR9
DL	MEM	AUS	*	0	CRJ CR9
DL	MEM	BHM	*	0	CRJ
DL	MEM	BNA	*	0	CRJ
DL	MEM	BOS	*	0	CR9
DL	MEM	BTR	*	0	CRJ
DL	MEM	CLE	*	0	CRJ
DL	MEM	CLT	*	0	CRJ CR9
DL	MEM	CMH	*	0	CRJ ERJ
DL	MEM	COU	*	0	CRJ
DL	MEM	CVG	*	0	CRJ
DL	MEM	DCA		0	M88 320
DL	MEM	DEN	*	0	CR9
DL	MEM	DFW	*	0	CR9 CRJ CR7
DL	MEM	DSM	*	0	CR9
DL	MEM	DTW		0	M88
DL	MEM	DTW	*	0	CR9 CRJ
DL	MEM	FLL		0	320 M88
DL	MEM	IAH	*	0	CRJ
DL	MEM	IND	*	0	CRJ
DL	MEM	JAN	*	0	CRJ
DL	MEM	JAX	*	0	CRJ
DL	MEM	JFK	*	0	CR9
DL	MEM	LAS		0	320 738 73H
DL	MEM	LAX		0	73H 320 738
DL	MEM	LGA		0	M88 319
DL	MEM	LIT	*	0	CRJ
DL	MEM	MCI	*	0	CRJ CR9
DL	MEM	MCO		0	M88 320
DL	MEM	MKE	*	0	CRJ
DL	MEM	MSP		0	M88 73H
DL	MEM	MSP	*	0	CR9
DL	MEM	MSY	*	0	CRJ
DL	MEM	OKC	*	0	CRJ
DL	MEM	OMA	*	0	CRJ
DL	MEM	ORD	*	0	CRJ CR9
DL	MEM	PHL	*	0	CR9 CR7
DL	MEM	PHX	*	0	CR9
DL	MEM	PIT	*	0	CR9 CRJ
DL	MEM	RDU	*	0	CRJ ERJ
DL	MEM	SAT	*	0	CRJ
DL	MEM	SDF		0	ERJ
DL	MEM	SDF	*	0	CRJ
DL	MEM	SGF	*	0	CRJ
DL	MEM	SHV	*	0	CRJ
DL	MEM	SLC		0	319
DL	MEM	SLC	*	0	CR9
DL	MEM	STL	*	0	CRJ
DL	MEM	TPA		0	320
DL	MEM	TUL	*	0	CRJ
DL	MEM	TYS	*	0	CRJ
DL	MEM	XNA	*	0	CRJ
DL	MEX	ACA		0	738
DL	MEX	ATL		0	73W 73H
DL	MEX	ATL	*	0	EMJ
DL	MEX	DTW		0	319
DL	MEX	IAD	*	0	737
DL	MEX	IAH		0	EMJ
DL	MEX	IAH	*	0	EMJ 737
DL	MEX	JFK		0	738 757 737
DL	MEX	JFK	*	0	738 762
DL	MEX	LAS		0	737 738
DL	MEX	LAX		0	737 738
DL	MEX	LAX	*	0	737 738 73H
DL	MEX	MCO		0	738 737
DL	MEX	MIA		0	738 737
DL	MEX	MID		0	EMJ 737
DL	MEX	ORD		0	737
DL	MEX	SAT		0	ERJ
DL	MEX	SFO		0	738 737
DL	MEX	VSA		0	EMJ
DL	MFR	PDX	*	0	DH4
DL	MFR	SLC	*	0	CR7 CRJ
DL	MGA	ATL		0	319
DL	MGM	ATL	*	0	CRJ CR9
DL	MHT	ATL		0	M88
DL	MHT	LGA		0	CR7
DL	MHT	LGA	*	0	CRJ ERJ
DL	MIA	ATL		0	757 M88 320 M90 738
DL	MIA	CDG	*	0	77W
DL	MIA	DTW		0	320 M88
DL	MIA	FCO	*	0	330
DL	MIA	JFK		0	738 320 M88 73H
DL	MIA	LAX		0	73H
DL	MIA	LGA		0	320 319
DL	MIA	MEX		0	738 737
DL	MIA	MEX	*	0	737 738
DL	MIA	MID		0	EMJ
DL	MIA	MSP		0	M88
DL	MIA	MXP	*	0	330
DL	MIA	YYZ	*	0	73W
DL	MID	MEX		0	EMJ
DL	MID	MIA		0	EMJ
DL	MKE	ATL		0	M90 M88
DL	MKE	CVG	*	0	CRJ
DL	MKE	DTW		0	319 320 M88 M90
DL	MKE	DTW	*	0	CRJ CR9 CR7
DL	MKE	JFK	*	0	CR7
DL	MKE	LGA		0	E75 CR7
DL	MKE	LGA	*	0	CR7 E70
DL	MKE	MEM	*	0	CRJ
DL	MKE	MSP		0	M90 320 M88 319
DL	MKE	MSP	*	0	CR9 CRJ E75
DL	MLB	ATL		0	M88 D95
DL	MLB	ATL	*	0	CR7
DL	MLI	ATL	*	0	CR9 CR7 CRJ
DL	MLI	DTW	*	0	CRJ
DL	MLI	MSP	*	0	CRJ
DL	MLU	ATL	*	0	CRJ
DL	MMH	LAX	*	0	DH4
DL	MNL	NGO		0	744
DL	MNL	NRT		0	744
DL	MOB	ATL		0	M88 D95
DL	MOB	ATL	*	0	CRJ CR9
DL	MOT	MSP		0	319
DL	MOT	MSP	*	0	CR9 CRJ E75
DL	MQT	DTW	*	0	CRJ
DL	MSN	ATL		0	319 M88
DL	MSN	ATL	*	0	CR9
DL	MSN	CVG	*	0	CRJ
DL	MSN	DTW		0	320 319
DL	MSN	DTW	*	0	CR9 CR7 CRJ
DL	MSN	LGA	*	0	E75
DL	MSN	MSP		0	320 M90
DL	MSN	MSP	*	0	CRJ CR9 E75
DL	MSO	MSP	*	0	E75
DL	MSO	SLC	*	0	CR9 CRJ
DL	MSP	ABQ		0	M88
DL	MSP	ABR	*	0	CRJ
DL	MSP	ALB	*	0	CR9
DL	MSP	AMS		0	332 333 767
DL	MSP	ANC		0	757
DL	MSP	APN	*	0	CRJ
DL	MSP	ATL		0	757 M90 753 73H
DL	MSP	ATW	*	0	CRJ
DL	MSP	AUS		0	319
DL	MSP	AUS	*	0	CR9 CR7
DL	MSP	AZO	*	0	CRJ
DL	MSP	BDL		0	M90 M88
DL	MSP	BDL	*	0	CR7 E75 CR9
DL	MSP	BHM	*	0	E70
DL	MSP	BIL		0	319
DL	MSP	BIL	*	0	E75
DL	MSP	BIS		0	320
DL	MSP	BIS	*	0	CR9 CRJ E75
DL	MSP	BJI	*	0	CRJ
DL	MSP	BMI	*	0	CRJ
DL	MSP	BNA	*	0	CR9 E70 CRJ CR7 E75
DL	MSP	BOI		0	319
DL	MSP	BOI	*	0	E75
DL	MSP	BOS		0	M88 320 738 73H 319
DL	MSP	BRD	*	0	CRJ
DL	MSP	BUF	*	0	E75
DL	MSP	BWI		0	319 320 M90 738
DL	MSP	BWI	*	0	E75
DL	MSP	BZN		0	320
DL	MSP	BZN	*	0	E75
DL	MSP	CDG		0	332
DL	MSP	CID	*	0	CRJ
DL	MSP	CLE	*	0	CRJ
DL	MSP	CLT		0	319 320 M88
DL	MSP	CLT	*	0	CR9 E75
DL	MSP	CMH		0	320
DL	MSP	CMH	*	0	CRJ CR9 E70 CR7
DL	MSP	CVG	*	0	CRJ
DL	MSP	CWA	*	0	CRJ
DL	MSP	DAY	*	0	CRJ
DL	MSP	DCA		0	M90 320 757
DL	MSP	DEN		0	M90 320 738 319
DL	MSP	DFW	*	0	CR9 E75
DL	MSP	DLH	*	0	CRJ
DL	MSP	DSM	*	0	CRJ CR9
DL	MSP	DTW		0	738 753 M88 M90 757 320 319
DL	MSP	EWR		0	319
DL	MSP	EWR	*	0	E75 CR9 CR7
DL	MSP	FAR		0	M88 M90 320
DL	MSP	FAR	*	0	CRJ E75 CR9
DL	MSP	FCA	*	0	E75
DL	MSP	FLL		0	320
DL	MSP	FNT	*	0	CRJ
DL	MSP	FSD		0	M90 319
DL	MSP	FSD	*	0	CR7 E70 CRJ CR9 E75
DL	MSP	FWA	*	0	CRJ
DL	MSP	GEG		0	M90
DL	MSP	GEG	*	0	E75 CR9
DL	MSP	GFK	*	0	CRJ
DL	MSP	GRB	*	0	CRJ CR9
DL	MSP	GRR		0	M88 320
DL	MSP	GRR	*	0	CRJ E75 CR9
DL	MSP	GTF	*	0	E75
DL	MSP	HIB	*	0	CRJ
DL	MSP	HLN	*	0	CR9
DL	MSP	IAD	*	0	E75
DL	MSP	IAH	*	0	E75 CR7 CR9
DL	MSP	ICT	*	0	CRJ
DL	MSP	IND		0	320 319
DL	MSP	IND	*	0	CRJ CR9 E75 CR7
DL	MSP	JAX	*	0	CR9
DL	MSP	JFK		0	319
DL	MSP	JFK	*	0	CR9
DL	MSP	LAN	*	0	CRJ
DL	MSP	LAS		0	M90 757 320 738
DL	MSP	LAX		0	738 763 753 757 320 73H
DL	MSP	LEX	*	0	CRJ
DL	MSP	LGA		0	M88 320 319 738
DL	MSP	LHR		0	764
DL	MSP	LNK	*	0	CRJ
DL	MSP	LSE	*	0	CRJ
DL	MSP	MBS	*	0	CRJ
DL	MSP	MCI		0	738 M88 M90 319
DL	MSP	MCI	*	0	E75 CR9
DL	MSP	MCO		0	753 757
DL	MSP	MDW	*	0	E70 CR9 E75
DL	MSP	MEM		0	M88 320
DL	MSP	MEM	*	0	CR9
DL	MSP	MIA		0	M88
DL	MSP	MKE		0	M90 320 M88 319
DL	MSP	MKE	*	0	CR9 CRJ E75
DL	MSP	MLI	*	0	CRJ
DL	MSP	MOT		0	319
DL	MSP	MOT	*	0	CRJ E75 CR9
DL	MSP	MSN		0	M90 320
DL	MSP	MSN	*	0	CR7 CR9 E75 CRJ
DL	MSP	MSO	*	0	E75
DL	MSP	MSY		0	320 M88 M90
DL	MSP	MSY	*	0	E75 CR9
DL	MSP	NRT		0	77L
DL	MSP	OKC	*	0	CRJ
DL	MSP	OMA		0	738 M90
DL	MSP	OMA	*	0	CRJ E70 E75 CR9 CR7
DL	MSP	ORD		0	M88 320 M90
DL	MSP	ORD	*	0	CR9 E75
DL	MSP	PDX		0	M90 73H 738
DL	MSP	PHL		0	M90
DL	MSP	PHL	*	0	CR9 E75 CR7
DL	MSP	PHX		0	757 738 M90 73H
DL	MSP	PIA	*	0	CRJ
DL	MSP	PIT	*	0	E75 CR7 CR9
DL	MSP	PSC	*	0	CR9
DL	MSP	PVD	*	0	E75
DL	MSP	RAP		0	320
DL	MSP	RAP	*	0	CRJ
DL	MSP	RDU	*	0	CR7 E75 CR9
DL	MSP	RIC	*	0	E75
DL	MSP	ROC	*	0	E70
DL	MSP	RST	*	0	CRJ
DL	MSP	RSW		0	M90
DL	MSP	SAN		0	M90 738 320
DL	MSP	SAT	*	0	CR7 E75 CR9
DL	MSP	SBN	*	0	CRJ
DL	MSP	SDF	*	0	CR9 E75 CRJ CR7
DL	MSP	SEA		0	320 757 738 753 73H
DL	MSP	SFO		0	320 M90 757 738
DL	MSP	SJC		0	M90
DL	MSP	SLC		0	320 73H 757 738
DL	MSP	SMF		0	320
DL	MSP	SNA		0	319
DL	MSP	STL		0	320 319
DL	MSP	STL	*	0	E75 CR9 CRJ
DL	MSP	SYR	*	0	CR9
DL	MSP	TPA		0	320 M90
DL	MSP	TUL	*	0	CRJ
DL	MSP	TUS		0	320
DL	MSP	TVC	*	0	CRJ
DL	MSP	XNA	*	0	CRJ
DL	MSP	YEG	*	0	E75
DL	MSP	YQR	*	0	CRJ
DL	MSP	YUL	*	0	CR7 CR9
DL	MSP	YVR	*	0	E75
DL	MSP	YWG	*	0	E70 CRJ E75
DL	MSP	YXE	*	0	E70
DL	MSP	YYC		0	319
DL	MSP	YYC	*	0	E75
DL	MSP	YYZ	*	0	CRJ CR7 CR9
DL	MSY	ATL		0	757 M88 763 753 M90
DL	MSY	CVG	*	0	CR9
DL	MSY	DTW		0	319 753 M88
DL	MSY	JFK	*	0	CR9
DL	MSY	LAX		0	320 319
DL	MSY	LGA		0	319
DL	MSY	MEM	*	0	CRJ
DL	MSY	MSP		0	320 M90 M88
DL	MSY	MSP	*	0	CR9 E75
DL	MSY	SLC		0	320
DL	MTY	ATL	*	0	CR9
DL	MTY	BRO	*	0	ERJ
DL	MTY	CUL		0	ERJ
DL	MTY	CUU		0	ERJ
DL	MTY	DTW	*	0	CR9
DL	MTY	LAS		0	738
DL	MTY	SAT	*	0	ERJ
DL	MUC	ATL		0	764
DL	MXP	ATL		0	767
DL	MXP	JFK		0	764
DL	MXP	JFK	*	0	330
DL	MXP	MIA	*	0	330
DL	MYR	ATL		0	M88
DL	MYR	ATL	*	0	CRJ CR7
DL	MYR	DTW	*	0	E75
DL	NAS	ATL		0	M88
DL	NAS	LGA		0	319
DL	NCE	JFK		0	764
DL	NGO	DTW		0	744
DL	NGO	GUM		0	752
DL	NGO	HNL		0	333
DL	NGO	MNL		0	744
DL	NIM	OUA	*	0	332
DL	NRT	ATL		0	744
DL	NRT	BKK		0	333
DL	NRT	DTW		0	744
DL	NRT	GUM		0	752 767
DL	NRT	HKG		0	77L
DL	NRT	HNL		0	744 767 333
DL	NRT	ICN		0	752
DL	NRT	JFK		0	744
DL	NRT	LAX		0	77L
DL	NRT	MNL		0	744
DL	NRT	MSP		0	77L
DL	NRT	PDX		0	767
DL	NRT	PEK		0	767
DL	NRT	PVG		0	333
DL	NRT	ROR		0	752
DL	NRT	SEA		0	333
DL	NRT	SFO		0	767
DL	NRT	SIN		0	77L
DL	NRT	SPN		0	752
DL	NRT	TPE		0	744
DL	NVT	GRU	*	0	73G
DL	OAJ	ATL	*	0	CRJ CR9
DL	OAK	KOA	*	0	73H
DL	OAK	LAX	*	0	CR9
DL	OAK	OGG	*	0	73H
DL	OAK	PDX	*	0	DH4
DL	OAK	SLC		0	320 319
DL	OAK	SLC	*	0	CR9
DL	OGG	LAX		0	757
DL	OGG	OAK	*	0	73H
DL	OGG	SAN	*	0	73H
DL	OGG	SJC	*	0	73H
DL	OGG	SMF	*	0	73H
DL	OKC	ATL		0	M88
DL	OKC	ATL	*	0	CR9 CR7
DL	OKC	DTW	*	0	CR9
DL	OKC	MEM	*	0	CRJ
DL	OKC	MSP	*	0	CRJ
DL	OKC	SLC	*	0	CR7 CR9
DL	OMA	ATL		0	M88 M90
DL	OMA	ATL	*	0	CR9 E75
DL	OMA	CVG	*	0	CRJ
DL	OMA	DTW	*	0	CRJ CR9
DL	OMA	MEM	*	0	CRJ
DL	OMA	MSP		0	M90 738
DL	OMA	MSP	*	0	CRJ E70 E75 CR9 CR7
DL	OMA	SLC	*	0	CR9 CR7
DL	ONT	GDL	*	0	737
DL	ONT	PDX	*	0	CR7
DL	ONT	SLC		0	320 319
DL	ONT	SLC	*	0	CR7 CRJ
DL	ORD	AMS	*	0	74M
DL	ORD	ATL		0	757 M88 D95 319
DL	ORD	ATL	*	0	CR7
DL	ORD	CDG		0	332
DL	ORD	CVG	*	0	CR9 CRJ CR7 E75
DL	ORD	DTW		0	D95 M88
DL	ORD	DTW	*	0	E75 CR7
DL	ORD	FCO		0	764
DL	ORD	GDL		0	737 738
DL	ORD	ICN	*	0	77W
DL	ORD	JFK	*	0	CR9
DL	ORD	LGA	*	0	E75
DL	ORD	MEM	*	0	CR9 CRJ
DL	ORD	MEX		0	737
DL	ORD	MSP		0	M88 320 M90
DL	ORD	MSP	*	0	CR9 E75 CR7
DL	ORD	SLC	*	0	CR9
DL	ORD	YVR	*	0	73W 736
DL	ORD	YYC	*	0	73W
DL	ORF	ATL		0	M90 757 M88
DL	ORF	BOS	*	0	CRJ
DL	ORF	DTW		0	ERJ
DL	ORF	DTW	*	0	CRJ ERJ
DL	ORF	JFK		0	ERJ
DL	ORF	JFK	*	0	CRJ
DL	ORF	LGA	*	0	ERJ
DL	PAP	ATL		0	320
DL	PAP	JFK		0	738
DL	PBI	ATL		0	757 M88
DL	PBI	DTW		0	320 319
DL	PBI	LGA		0	319 320
DL	PDX	AMS		0	332
DL	PDX	ATL		0	73H 757 738
DL	PDX	BOI	*	0	DH4
DL	PDX	BOS	*	0	73H
DL	PDX	BUR	*	0	CR7
DL	PDX	EUG	*	0	DH4
DL	PDX	FAT	*	0	DH4
DL	PDX	GEG	*	0	DH4
DL	PDX	JFK		0	73H
DL	PDX	LAS	*	0	73G 739
DL	PDX	LAX	*	0	734 73G 73H 739
DL	PDX	LGB	*	0	CR7
DL	PDX	MFR	*	0	DH4
DL	PDX	MSP		0	M90 738 73H
DL	PDX	NRT		0	767
DL	PDX	OAK	*	0	DH4
DL	PDX	ONT	*	0	CR7
DL	PDX	PHX	*	0	739 734
DL	PDX	RDM	*	0	DH4
DL	PDX	SAN	*	0	734 73H 73G
DL	PDX	SEA	*	0	DH4
DL	PDX	SFO	*	0	DH4 734 73G 73H
